gene,logfoldchange,adj_p_value,cluster_7_percent,other_percent
Serpinb9,-0.5306363105773926,0.29560965413279655,0.03890084423108757,0.051970806058065415
Trappc1,-0.1511678397655487,0.29415674472275344,0.1981460023174971,0.20696956993754903
4932438A13Rik,-0.08921335637569427,0.29380314088009407,0.3174971031286211,0.32273494351466686
Mr1,-0.8191540837287903,0.29373790823155355,0.02151961595762291,0.03481560306557888
Hist1h3e,-0.4401240646839142,0.29373790823155355,0.05363350438669095,0.0665677770253566
Spcs2,-0.028174590319395065,0.29373790823155355,0.6255586823373613,0.6076875947244527
Ccdc28b,-0.6627328395843506,0.29302632126877004,0.030292997848038405,0.043479195554265694
Rdm1,-0.29609131813049316,0.29213304902008075,0.08972024499255091,0.1018670794234304
Gmip,-0.11921746283769608,0.2906655561827003,0.26204270816090053,0.2692270484666731
Poc1b,-0.4427557587623596,0.2906655561827003,0.05363350438669095,0.0665677770253566
Fry,-0.9480931758880615,0.2902149060116344,0.01721569276609833,0.030655788806122557
Kcnh3,-1.0440785884857178,0.28842134752400767,0.014567124648237046,0.028043812410649984
Oas1c,-0.7218103408813477,0.2875694353305648,0.026816752193345474,0.0401577934711339
Amn1,-0.4206937253475189,0.2846931928186177,0.059758318159245156,0.0725871464964045
Zfp386,-0.3410516679286957,0.2846931928186177,0.07300115874855156,0.08569002396998915
Hps3,-0.3169265389442444,0.2846931928186177,0.0859129283231253,0.09812647125213633
1300002E11Rik,-0.25646349787712097,0.28389011782424883,0.10859129283231253,0.12036589167284727
Prkcb,-0.29839444160461426,0.28201252705151797,0.09816255586823373,0.10985349284662431
Parp4,-0.2102290242910385,0.27990575665688966,0.14467803343817248,0.15545021658981223
Gm12216,-0.5843969583511353,0.27968109688094184,0.032941565965899686,0.04642438704545699
Dpysl2,-0.33317920565605164,0.2795300633043831,0.07283562324118524,0.08578676383648813
Tmem43,-0.3718342185020447,0.2793022363114236,0.07068366164542295,0.0833145228037363
Zyg11b,-0.27042344212532043,0.2781487100955613,0.09799702036086741,0.11032644330506379
Dmac1,-0.17000514268875122,0.27700654718923223,0.21486508856149644,0.22031967151440887
Elmo1,-0.0935557633638382,0.2748071028254675,0.3818904154941235,0.37681252888759903
Parp16,-0.9491333961486816,0.2746929858875294,0.017050157258731997,0.030720282050455214
E230001N04Rik,-0.39008376002311707,0.2746929858875294,0.056778679026651215,0.07007190996743091
Mpv17,-0.4874464273452759,0.27268321478588775,0.04817083264360205,0.06139756860468866
Yipf2,-0.5965027213096619,0.27043428142847176,0.03211388842906804,0.045779454602130426
Zbtb8a,-0.7729377746582031,0.27022166140543513,0.025326932627048503,0.03895391957692432
Wdr82,-0.1643565446138382,0.2695454677851058,0.22049329581195165,0.22609181688218158
Stx1a,-0.5569182634353638,0.2693330052118139,0.034265850024830326,0.04790773166510808
Sema4f,-0.6494487524032593,0.26910386798872865,0.027644429730177122,0.041340169617232594
Ifit3b,-3.0984294414520264,0.26809111769239774,0.002317497103128621,0.016155557705330368
Dcaf8,-0.15730921924114227,0.26809111769239774,0.23323952987915908,0.23847451979405157
Tnfrsf26,-0.765853226184845,0.26748931922603314,0.02334050653865254,0.037094364365332734
Rbm7,-0.09400483220815659,0.2669142314210651,0.3714616785300447,0.3681381875248568
Cast,-0.10159125179052353,0.26610033432324953,0.32064227776858134,0.3257231305020799
Prkaa1,-0.4710054099559784,0.265333546346044,0.056613143519284884,0.06957746176088055
Fut11,-0.41526252031326294,0.26532914075553776,0.05760635656348287,0.0708243311513119
Trbv19,-0.27091360092163086,0.2650462738734413,0.13242840589306407,0.14357271075854805
Tmem156,-0.42777004837989807,0.2637102512789652,0.06191027975500745,0.07489815441832468
Fam117a,-0.7602535486221313,0.2629380463063782,0.02416818407548419,0.03797577203787903
Ddhd2,-0.257855623960495,0.2624051489056288,0.12117199139215362,0.1324046306149431
Tmcc3,-1.55788254737854,0.2619446263704947,0.007780168846217513,0.021712725591994237
Hist1h1d,-0.7579509019851685,0.2600775234542692,0.026651216685979143,0.04039426870035364
Ndufs5,-0.0726109966635704,0.25710152802524444,0.4093693097169343,0.40148119484484
Arl6ip4,-0.16217857599258423,0.2567244090294658,0.2464823704684655,0.24967484655982286
Hes6,-0.25193625688552856,0.2563223056833493,0.1342492964740937,0.144518611675427
Gm49322,-1.035111427307129,0.25521456691740246,0.015560337692435026,0.02953790590435652
Dopey1,-0.2855663001537323,0.2549572049198636,0.10279755007449098,0.11494845914890416
1110059E24Rik,-0.4095726013183594,0.25332639507863103,0.067704022512829,0.08055206217148754
Zbtb4,-0.4281314015388489,0.2507343481778349,0.06042046018871048,0.0736942805241151
Kat2b,-0.3669387400150299,0.24945918311721169,0.07035259063069028,0.0836154912772887
Sh3bp1,-0.13188369572162628,0.24869461437609838,0.2665121668597914,0.2715380563885933
Dhx58,-0.9639375805854797,0.2480256131278992,0.0187055123323953,0.03274107037287844
Cmpk2,-1.8214936256408691,0.24571951185586094,0.006290349279920543,0.02047660507561833
Axin2,-0.9512943625450134,0.243040720093475,0.01936765436186062,0.033482742682703986
Lbh,-0.06622757017612457,0.24066641044989012,0.4424764111902003,0.4407575806434276
Ocel1,-0.14951835572719574,0.2402203615403149,0.22694918059923855,0.23426096116431805
Gng2,-0.48456916213035583,0.2400672830072368,0.0456878000331071,0.05963475325959606
Narf,-0.43619751930236816,0.2394703391459065,0.06290349279920543,0.07619876817903325
Kif1bp,-0.46448445320129395,0.23917521993761484,0.04949511670253269,0.06333236593466834
H2afj,-0.023348623886704445,0.23733479424587808,0.750703525906307,0.7387271183343544
Pomgnt2,-3.2518489360809326,0.2318790988810747,0.001986426088395961,0.01640278180860555
L1cam,-0.4277762472629547,0.23179367021787764,0.05909617612977984,0.07289886384401234
Dirc2,-1.060546636581421,0.23165127537273247,0.014567124648237046,0.028957466705362613
Tnfaip8,-0.12414740771055222,0.22982516670261832,0.21503062406886278,0.2264465297260112
Calm2,-0.03415406122803688,0.2283401235906803,0.6060254924681344,0.5873399761374996
Uqcc3,-0.11857209354639053,0.22664639678445936,0.2963085581857308,0.29908742059269294
Cpm,-1.2240538597106934,0.2262197536838311,0.013573911604039066,0.028000816914428215
Ube2d2a,-0.028250781819224358,0.2258326141233924,0.626882966396292,0.6040974707899348
Naa38,-0.12912258505821228,0.22497054043992448,0.27843072339016717,0.2828996162651962
Rtl8b,-0.2803051471710205,0.2243066496242878,0.09948683992716438,0.11248696699020777
Myo10,-0.4131630063056946,0.2221126450906098,0.057109750041383876,0.07117904399514151
Ift27,-0.30128970742225647,0.2219936053528389,0.1067704022512829,0.1187105650683091
