gene,logfoldchange,adj_p_value,T.4N_Nr4a1_percent,other_percent
Nudt6,-0.25378534,0.8429776570917014,0.06671080946863102,0.07401674674577838
Pcyt1a,-0.6109411,0.8424983108412092,0.0187055123323953,0.026635709909386993
Daxx,-0.13158652,0.8407859964002193,0.21254759145836782,0.21368761622220073
Gm17018,-0.24871212,0.8372342003859021,0.09187220658831319,0.09780400503047305
Gstt2,-0.35338813,0.8339591115631586,0.050157258731998014,0.05762471381122827
Atxn1,-0.47893393,0.8324969618743647,0.027975500744909784,0.03587974159706771
Tbc1d9b,-0.25009546,0.8300998758689099,0.06687634497599736,0.074274719723109
Slc25a29,-0.48263094,0.8295826970429355,0.024664790597583183,0.03269807487665667
Marf1,-0.1857902,0.8293539845679584,0.10975004138387684,0.1161200864209474
Rfesd,-0.299303,0.8293539845679584,0.06058599569607681,0.0678791396601206
Arntl2,-0.5995881,0.8286481170057753,0.02085747392815759,0.02887147571291907
Alyref2,-0.22036834,0.8246866703035964,0.07184241019698726,0.07939118377349973
Sft2d3,-0.39012465,0.8221863652642469,0.04204601887104784,0.04975653800264422
Chchd5,-0.23578843,0.8203076764746458,0.0864095348452243,0.09305300269796739
Slx1b,-0.50412786,0.8203076764746458,0.030789604370137395,0.03865295110337192
Zfp113,-0.43062773,0.8198148051104298,0.034100314517463995,0.04201734868272548
Uqcrh,0.0126832,0.8198068167541573,0.8885946035424599,0.8743779089140412
Mcoln1,-0.35658547,0.8197928332418586,0.045025658003641784,0.052766222738168174
Zfp141,-0.39447007,0.8194525126467205,0.03476245654692932,0.042748272118495585
Oxld1,-0.43017408,0.8191043069565364,0.036914418142691606,0.044693818322530714
Cryl1,-0.31697747,0.8187343995149449,0.06621420294653203,0.07316758569539841
Fbxl8,-0.31047556,0.8177454168563029,0.04949511670253269,0.057323745337675876
Gm26517,-0.80714047,0.8176014973741137,0.015229266677702366,0.023325056700310643
Snx2,-0.14235651,0.8167908001747402,0.20890581029630856,0.20870013866047532
Ankzf1,-0.32663512,0.8166340698568597,0.056613143519284884,0.06408478711854933
Lppos,-0.6063799,0.8158706396138456,0.01986426088395961,0.028011565788483656
Nbeal2,-0.40170017,0.8151269526369951,0.031782817414335376,0.03986757387163695
Gm16845,-0.5973104,0.8148071211765298,0.0203608674060586,0.028495265120978577
Gm14305,-0.4864033,0.8117864873783412,0.027809965237543453,0.03587974159706771
Zfp329,-0.15663674,0.8102224121521922,0.1590796225790432,0.1632753969021745
Rbm48,-0.17306511,0.8098171052538673,0.11686806820062903,0.12319284554942869
Prex1,-0.17168178,0.8092280502316402,0.1398775037245489,0.1454215170960842
Zfand6,-0.09133256,0.8091066750757991,0.2860453567290184,0.2833188223533585
Casp6,-0.18975067,0.808471178071644,0.12299288197318325,0.12858878032526092
Adcy6,-0.48294234,0.8081027692935168,0.02632014567124648,0.0344931368439156
Ntpcr,-0.28207198,0.8080834564983296,0.0715113391822546,0.07850977610095343
Man2c1os,-0.59252393,0.8073235119637827,0.0220162224797219,0.030172089473627636
Rcor3,-0.4434728,0.8073235119637827,0.031120675384870053,0.03923339030236583
Wdr92,-0.24873558,0.807261938710214,0.08541632180102632,0.09205335741081122
Otud1,-0.90569043,0.8051899920184269,0.011587485515643106,0.019853170380402654
Ubald2,-0.17014396,0.8044616651353621,0.13673232908458866,0.14204637064267517
Abtb1,-0.23677519,0.8043100650413416,0.09236881311041219,0.09900787892468264
Prrc2b,-0.15323023,0.8030607705718676,0.14401589140870716,0.14947384261498609
Lrrcc1,-0.26204237,0.8030607705718676,0.07680847541797715,0.0839917018692292
Fgfr1op2,-0.074563354,0.8030282156459152,0.34315510677040223,0.3373426633560135
Sdcbp2,-0.70209646,0.8013144032316036,0.016884621751365667,0.0251523652897359
Rab8a,-0.02935428,0.8007189413084118,0.49726866412845555,0.47580965893822624
Zfp707,-0.2831014,0.8000595213622781,0.05595100148981957,0.06382681414121871
Phospho2,-0.23147444,0.8000595213622781,0.09071345803674888,0.09744929218664344
Apol10b,-0.815173,0.7999041361108957,0.012415163052474755,0.020745326927004395
Fbxl20,-0.47765633,0.7967221338828865,0.030955139877503726,0.03911515268775596
Dnase2a,-0.3421682,0.792848357407216,0.04949511670253269,0.057420485204174865
C230037L18Rik,-0.55749667,0.7927241242832843,0.024499255090216852,0.03277331699504477
Cox17,-0.041035097,0.7907692814379795,0.4644926336699222,0.45239861124547204
Ldlrad4,-0.8027116,0.7898141636144963,0.013904982618771726,0.0222824159169327
Nlk,-0.17043877,0.7884179849998534,0.13060751531203443,0.1364892027560113
Vwa5a,-0.63648826,0.7879387798287161,0.01787783479556365,0.02627024819150194
Amdhd2,-0.25472963,0.7844525828216886,0.08111239860950174,0.08820526049896274
Lats2,-0.3332057,0.7844502774455746,0.04320476742261215,0.05142261348123784
Sgsh,-0.41755027,0.7837133374273308,0.03641781162059262,0.04461857620414261
Prr14,-0.15644352,0.7834082782388407,0.14517463996027147,0.15038749690969871
Ccdc69,-0.2582039,0.7831968668940116,0.08227114716106605,0.08936613889695054
Krtcap2,-0.017250355,0.7813849825497212,0.6076808475417977,0.5936495652080445
Lysmd3,-0.21943359,0.779538627538606,0.07515312034431386,0.08313179194479378
Slc25a23,-0.43832058,0.7773299671987625,0.030624068862771064,0.038996915073146086
Marc2,-0.12763444,0.7726039866845213,0.2151961595762291,0.21621360162522976
Kif3a,-0.7267511,0.772083244332434,0.017050157258731997,0.02555007362978728
Ski,-0.14429884,0.7720299772285208,0.1564310544611819,0.1618135500306343
Gm47469,-0.38657665,0.7714051142940446,0.04254262539314683,0.05074543441574495
Ss18,-0.090772,0.7679622915036439,0.28968713789107764,0.28809132243397506
Rad9a,-0.18212673,0.7670328486659713,0.11074325442807482,0.11778616189954103
Ubc,-0.12691568,0.7662059624783875,0.20393974507531865,0.20687283007105006
Dtd2,-0.42545503,0.7657985123144324,0.0390663797384539,0.04726279922178152
2310035C23Rik,-0.16560507,0.7650278340383772,0.15096838271809304,0.15579418055958638
Gm10392,-1.4525009,0.76353525598029,0.005462671743088892,0.01409177388668537
Tmem219,-0.19381055,0.7621878331413048,0.12663466313524252,0.1320606666451689
Zfp688,-0.27449158,0.7598833604707628,0.06671080946863102,0.07454344157449508
Fermt3,-0.038371384,0.7595447117730995,0.49180599238536665,0.47447679855535135
Fbxo32,-0.3291407,0.7591313135687603,0.04452905148154279,0.052884460352778044
Cacna2d2,-0.7661033,0.757784290349562,0.016222479721900347,0.024819150194017175
